80714,3482543,0,0,197752,721993,4483002,15333958,62464,4545466,15396422,-2092569,-42648,-106630,-2241847,2303619
-7052,-8002,0,0,-8432,-97649,-121135,16337512,31099,-90036,16368611,-14054291,-36891,-1269048,-15360230,-15450266
3073285,56810616,334400,1199475,33501268,1187167,96106211,294857156,56248942,152355153,351106098,-40724937,-803663,-2506636,-44035236,108319917
0,0,0,20535717,33581894,0,54117611,63237324,0,54117611,63237324,0,0,0,0,54117611
7876,8020817,634473,0,0,0,8663166,26942245,44370,8707536,26986615,-2978,0,0,-2978,8704558
1595669,46974695,6873,414393,12355428,197402,61544460,98358600,8620512,70164972,106979112,-704600,0,0,-704600,69460372
250,11941693,0,0,0,0,11941943,41431380,654576,12596519,42085956,-499171,0,0,-499171,12097348
0,57908362,37145,0,0,0,57945507,66188144,19254,57964761,66207398,-1463,0,0,-1463,57963298
487915,14915197,-74768,29398,776109,71998,16205849,38781522,5669407,21875256,44450929,-3667297,0,0,-3667297,18207959
0,0,0,0,0,0,0,9960768,0,0,9960768,0,0,0,0,0
215154,10976086,35886,1078446,7330107,-11466,19624213,46316623,333423,19957636,46650046,-707962,0,-6127,-714089,19243547
0,786643,36641567,0,0,0,37428210,38537877,0,37428210,38537877,0,0,0,0,37428210
11348863,69038319,53426001,560223,2249777,0,136623183,209789547,2037714,138660897,211827261,-4519395,0,-1498,-4520893,134140004
0,26326,0,0,0,0,26326,4656459,46900,73226,4703359,-734390,-467,-483,-735340,-662114
